,id,alias,name,is_claimed,is_closed,review_count,rating,coordinates,business_type,price,zip_code,city,state,delivery,pickup,covid_cases,covid_tests,covid_deaths,zipcode_population,latitude,longitude
5449,IUulLthZEWBd0IVX7G-MSw,la-concha-chicago,La-Concha,,False,4.0,4.5,"{'longitude': -87.6947449, 'latitude': 41.8232758}",,1.0,60632,Chicago,IL,True,False,11075.0,62762.0,163.0,91039.0,41.8232758,-87.6947449
5450,jtszKmSqyyFv6BIgFxgIHg,subway-chicago-613,Subway,,False,10.0,4.0,"{'longitude': -87.6914430873965, 'latitude': 41.8223811202219}",,1.0,60632,Chicago,IL,True,True,11075.0,62762.0,163.0,91039.0,41.8223811202219,-87.6914430873965
5451,QiXw0EK7SqDHwde6SS5BPQ,dunkin-chicago-156,Dunkin',,False,31.0,1.5,"{'longitude': -87.69069, 'latitude': 41.82269}",,1.0,60632,Chicago,IL,True,False,11075.0,62762.0,163.0,91039.0,41.82269,-87.69069
5452,H-ARhYPimn9Jdtu-hi5KgQ,soul-vegan-chicago,Soul Vegan,,False,24.0,4.5,"{'longitude': -87.6798871, 'latitude': 41.8225818}",,1.0,60609,Chicago,IL,False,False,5768.0,50608.0,115.0,61495.0,41.8225818,-87.6798871
5453,fmwyTF5bA8Soq8WyZHcIKA,the-village-inn-chicago,The Village Inn,,False,1.0,5.0,"{'longitude': -87.6406097412109, 'latitude': 41.8206634521484}",,,60609,Chicago,IL,False,False,5768.0,50608.0,115.0,61495.0,41.8206634521484,-87.6406097412109
5454,dj2UmRl-kSTHtSbgjoCjNQ,chicagos-home-of-chicken-and-waffles-chicago,Chicago's Home Of Chicken & Waffles,,False,765.0,3.5,"{'longitude': -87.61632, 'latitude': 41.82229}",,2.0,60653,Chicago,IL,True,True,1914.0,30921.0,52.0,31972.0,41.82229,-87.61632
5455,usx4HH7A-a5tqy98Ppc0qQ,oakwood-41st-street-beach-chicago,Oakwood / 41st Street Beach,,False,11.0,4.5,"{'longitude': -87.59524, 'latitude': 41.81694}",,,60653,Chicago,IL,False,False,1914.0,30921.0,52.0,31972.0,41.81694,-87.59524
5456,IttvihiAp2gLAK8d_vIvOg,mamby-on-the-beach-chicago,Mamby on the Beach,,False,8.0,3.0,"{'longitude': -87.6034743, 'latitude': 41.8288504}",,,60615,Chicago,IL,False,False,1661.0,44127.0,25.0,41563.0,41.8288504,-87.6034743
5457,oz24g2Wm_m_fQRlgqqrS5w,white-fence-farm-riverside,White Fence Farm,,False,78.0,4.0,"{'longitude': -87.8031, 'latitude': 41.82455}",,1.0,60546,Riverside,IL,True,False,,,,,41.82455,-87.8031
5458,Z3_FbzstmonvCG7ze7MuuQ,d-thai-lyons,D Thai,,False,87.0,3.5,"{'longitude': -87.8035819530487, 'latitude': 41.8230855735416}",,2.0,60534,Lyons,IL,True,True,,,,,41.8230855735416,-87.8035819530487
5459,K2AoDlGRU1_-ISXCkD5quQ,white-castle-berwyn,White Castle,,False,20.0,3.0,"{'longitude': -87.802432, 'latitude': 41.824449}",,1.0,60402,Berwyn,IL,True,True,,,,,41.824449,-87.802432
5460,_d9kxdNYbB60wnZ6b3JNcw,starbucks-berwyn-3,Starbucks,,False,3.0,3.5,"{'longitude': -87.801565, 'latitude': 41.824057}",,,60402,Berwyn,IL,False,False,,,,,41.824057,-87.801565
5461,7xRcbAKe4uPJY4WofKGIkw,7-eleven-berwyn-4,7-Eleven,,False,1.0,1.0,"{'longitude': -87.80174, 'latitude': 41.823646}",,,60402,Berwyn,IL,False,False,,,,,41.823646,-87.80174
5462,xvDsa5ltIWQYJb3PESbomQ,mr-submarine-berwyn-4,Mr Submarine,,False,52.0,4.0,"{'longitude': -87.80043, 'latitude': 41.82486}",,1.0,60402,Berwyn,IL,True,True,,,,,41.82486,-87.80043
5463,MGuhRtQzpQgbUNczyea1XQ,dunkin-berwyn-3,Dunkin',,False,35.0,2.0,"{'longitude': -87.7983551025391, 'latitude': 41.8249435424805}",,1.0,60402,Berwyn,IL,True,False,,,,,41.8249435424805,-87.7983551025391
5464,oiKPZQynqVnOj2sDiFnPPQ,juniors-bar-and-grill-berwyn,Juniors Bar & Grill,,False,12.0,3.0,"{'longitude': -87.7983093261719, 'latitude': 41.8256034851074}",,1.0,60402,Berwyn,IL,True,False,,,,,41.8256034851074,-87.7983093261719
5465,BtWshyV6CKaDj4ubgcoQMw,mcdonalds-berwyn-5,McDonald's,,False,32.0,1.5,"{'longitude': -87.7995103597641, 'latitude': 41.8252382470582}",,1.0,60402,Berwyn,IL,True,False,,,,,41.8252382470582,-87.7995103597641
5466,757yszGyeRxNR3ybOqgpwg,freedom-park-berwyn,Freedom Park,,False,1.0,4.0,"{'longitude': -87.7863051, 'latitude': 41.825036}",,,60402,Berwyn,IL,False,False,,,,,41.825036,-87.7863051
5467,3yuxs3CVDLiXLn99uan2OA,ace-coffee-bar-cicero,Ace Coffee Bar,,False,1.0,2.0,"{'longitude': -87.7630251, 'latitude': 41.823574}",,,60804,Cicero,IL,False,False,,,,,41.823574,-87.7630251
5468,kKeNnMk29fw0pZ5DCDd5xw,j-and-z-food-basket-stickney,J&Z Food Basket,,False,3.0,5.0,"{'longitude': -87.743998, 'latitude': 41.82423}",,,60804,Stickney,IL,True,True,,,,,41.82423,-87.743998
5469,mT_uFVYapK8xG7RZWh6aBg,taquizas-y-banquetes-el-siete-chicago-4,Taquizas y Banquetes El Siete,,False,5.0,5.0,"{'longitude': -87.7043016627431, 'latitude': 41.8238301229404}",,2.0,60632,Chicago,IL,True,True,11075.0,62762.0,163.0,91039.0,41.8238301229404,-87.7043016627431
5470,FFZmLgJaCrD-PNjnaO1buQ,tio-luis-tacos-chicago,Tio Luis Tacos,,False,274.0,3.5,"{'longitude': -87.689114, 'latitude': 41.823674}",,2.0,60632,Chicago,IL,True,False,11075.0,62762.0,163.0,91039.0,41.823674,-87.689114
