,id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance
0,S8OjwHGTs_ThbDt76Bkk1Q,mannys-tacos-and-burritos-chicago,Manny's Tacos & Burritos,https://s3-media1.fl.yelpcdn.com/bphoto/ihY4u-YDMCvEdcGY_OfYQg/o.jpg,False,https://www.yelp.com/biz/mannys-tacos-and-burritos-chicago?adjust_creative=VcO4N1M3Lh4PCYii-WJ2BA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VcO4N1M3Lh4PCYii-WJ2BA,24,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'mexican', 'title': 'Mexican'}]",4.0,"{'latitude': 41.684074, 'longitude': -87.620399}",['delivery'],$,"{'address1': '11543 S Michigan', 'address2': '', 'address3': '', 'city': 'Chicago', 'zip_code': '60628', 'country': 'US', 'state': 'IL', 'display_address': ['11543 S Michigan', 'Chicago, IL 60628']}",+17737855663,(773) 785-5663,132.54300624306956
1,USHNhhoWaKR8-23Jyonl2A,roseland-pizza-and-tacos-chicago,Roseland Pizza & Tacos,https://s3-media2.fl.yelpcdn.com/bphoto/NHO63jTL8A_aQUF4v4dh_w/o.jpg,False,https://www.yelp.com/biz/roseland-pizza-and-tacos-chicago?adjust_creative=VcO4N1M3Lh4PCYii-WJ2BA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VcO4N1M3Lh4PCYii-WJ2BA,11,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'tacos', 'title': 'Tacos'}]",2.5,"{'latitude': 41.685194, 'longitude': -87.6194099}",['delivery'],$,"{'address1': '135 E 115th St', 'address2': '', 'address3': '', 'city': 'Chicago', 'zip_code': '60628', 'country': 'US', 'state': 'IL', 'display_address': ['135 E 115th St', 'Chicago, IL 60628']}",+17732642000,(773) 264-2000,67.5429026988024
2,VjXf0VUM6N0U5lfo13fiEg,cal-harbor-restaurant-and-lounge-chicago,Cal-Harbor Restaurant & Lounge,https://s3-media1.fl.yelpcdn.com/bphoto/8p1WZ6mcUg1BQWryTyUmRg/o.jpg,False,https://www.yelp.com/biz/cal-harbor-restaurant-and-lounge-chicago?adjust_creative=VcO4N1M3Lh4PCYii-WJ2BA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VcO4N1M3Lh4PCYii-WJ2BA,47,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'lounges', 'title': 'Lounges'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",4.0,"{'latitude': 41.6857, 'longitude': -87.60967}",['delivery'],$,"{'address1': '546 E 115th St', 'address2': '', 'address3': '', 'city': 'Chicago', 'zip_code': '60628', 'country': 'US', 'state': 'IL', 'display_address': ['546 E 115th St', 'Chicago, IL 60628']}",+17732645435,(773) 264-5435,49.76483819644096
3,3AUUTqy0XDWwLH48x6ntDw,mcdonalds-chicago-188,McDonald's,https://s3-media3.fl.yelpcdn.com/bphoto/bRqBMhvbEXvW8m4k6UOcaA/o.jpg,False,https://www.yelp.com/biz/mcdonalds-chicago-188?adjust_creative=VcO4N1M3Lh4PCYii-WJ2BA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VcO4N1M3Lh4PCYii-WJ2BA,13,"[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]",1.5,"{'latitude': 41.6856867627975, 'longitude': -87.607668042183}",['delivery'],$,"{'address1': '600 E 115th St', 'address2': '', 'address3': '', 'city': 'Chicago', 'zip_code': '60628', 'country': 'US', 'state': 'IL', 'display_address': ['600 E 115th St', 'Chicago, IL 60628']}",+17739958586,(773) 995-8586,150.00485572279925
