,id,alias,name,image_url,is_claimed,is_closed,url,phone,display_phone,review_count,categories,rating,location,coordinates,photos,price,hours,transactions
0,S8OjwHGTs_ThbDt76Bkk1Q,mannys-tacos-and-burritos-chicago,Manny's Tacos & Burritos,https://s3-media1.fl.yelpcdn.com/bphoto/ihY4u-YDMCvEdcGY_OfYQg/o.jpg,False,False,https://www.yelp.com/biz/mannys-tacos-and-burritos-chicago?adjust_creative=VcO4N1M3Lh4PCYii-WJ2BA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=VcO4N1M3Lh4PCYii-WJ2BA,+17737855663,(773) 785-5663,24,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'mexican', 'title': 'Mexican'}]",4.0,"{'address1': '11543 S Michigan', 'address2': '', 'address3': '', 'city': 'Chicago', 'zip_code': '60628', 'country': 'US', 'state': 'IL', 'display_address': ['11543 S Michigan', 'Chicago, IL 60628'], 'cross_streets': 'Kensington Ave & 115th St'}","{'latitude': 41.684074, 'longitude': -87.620399}","['https://s3-media1.fl.yelpcdn.com/bphoto/ihY4u-YDMCvEdcGY_OfYQg/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/M8SXrXEsPiyjUitFb0MILQ/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/2KdNbvmRuPRu6R8jwW2kog/o.jpg']",$,"[{'open': [{'is_overnight': False, 'start': '0900', 'end': '2100', 'day': 0}, {'is_overnight': False, 'start': '0900', 'end': '2100', 'day': 1}, {'is_overnight': False, 'start': '0900', 'end': '2100', 'day': 2}, {'is_overnight': False, 'start': '0900', 'end': '2100', 'day': 3}, {'is_overnight': False, 'start': '0900', 'end': '2100', 'day': 4}, {'is_overnight': False, 'start': '0900', 'end': '2100', 'day': 5}, {'is_overnight': False, 'start': '0900', 'end': '2100', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",['delivery']
1,USHNhhoWaKR8-23Jyonl2A,roseland-pizza-and-tacos-chicago,Roseland Pizza & Tacos,https://s3-media2.fl.yelpcdn.com/bphoto/NHO63jTL8A_aQUF4v4dh_w/o.jpg,False,False,https://www.yelp.com/biz/roseland-pizza-and-tacos-chicago?adjust_creative=VcO4N1M3Lh4PCYii-WJ2BA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=VcO4N1M3Lh4PCYii-WJ2BA,+17732642000,(773) 264-2000,11,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'tacos', 'title': 'Tacos'}]",2.5,"{'address1': '135 E 115th St', 'address2': '', 'address3': '', 'city': 'Chicago', 'zip_code': '60628', 'country': 'US', 'state': 'IL', 'display_address': ['135 E 115th St', 'Chicago, IL 60628'], 'cross_streets': 'Perry Ave & Michigan Ave'}","{'latitude': 41.685194, 'longitude': -87.6194099}","['https://s3-media2.fl.yelpcdn.com/bphoto/NHO63jTL8A_aQUF4v4dh_w/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/5fvik0YgtWAKktRO1kMvfg/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/SKqkFedsBG0uQyTk1UHe6Q/o.jpg']",$,"[{'open': [{'is_overnight': False, 'start': '1000', 'end': '2300', 'day': 0}, {'is_overnight': False, 'start': '1000', 'end': '2300', 'day': 1}, {'is_overnight': False, 'start': '1000', 'end': '2300', 'day': 2}, {'is_overnight': False, 'start': '1000', 'end': '2300', 'day': 3}, {'is_overnight': True, 'start': '1000', 'end': '0030', 'day': 4}, {'is_overnight': True, 'start': '1000', 'end': '0030', 'day': 5}, {'is_overnight': False, 'start': '1000', 'end': '2300', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",['delivery']
2,VjXf0VUM6N0U5lfo13fiEg,cal-harbor-restaurant-and-lounge-chicago,Cal-Harbor Restaurant & Lounge,https://s3-media1.fl.yelpcdn.com/bphoto/8p1WZ6mcUg1BQWryTyUmRg/o.jpg,False,False,https://www.yelp.com/biz/cal-harbor-restaurant-and-lounge-chicago?adjust_creative=VcO4N1M3Lh4PCYii-WJ2BA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=VcO4N1M3Lh4PCYii-WJ2BA,+17732645435,(773) 264-5435,47,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'lounges', 'title': 'Lounges'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",4.0,"{'address1': '546 E 115th St', 'address2': '', 'address3': '', 'city': 'Chicago', 'zip_code': '60628', 'country': 'US', 'state': 'IL', 'display_address': ['546 E 115th St', 'Chicago, IL 60628'], 'cross_streets': 'Forrestville Ave & Wallace St'}","{'latitude': 41.6857, 'longitude': -87.60967}","['https://s3-media1.fl.yelpcdn.com/bphoto/8p1WZ6mcUg1BQWryTyUmRg/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/7OWFPTvVXAiNAeJCUMReSw/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/9x2uqXcomWda18NIWXhftg/o.jpg']",$,"[{'open': [{'is_overnight': False, 'start': '0500', 'end': '1500', 'day': 0}, {'is_overnight': False, 'start': '0500', 'end': '1500', 'day': 1}, {'is_overnight': False, 'start': '0500', 'end': '1500', 'day': 2}, {'is_overnight': False, 'start': '0500', 'end': '1500', 'day': 3}, {'is_overnight': False, 'start': '0500', 'end': '1500', 'day': 4}, {'is_overnight': False, 'start': '0500', 'end': '1500', 'day': 5}, {'is_overnight': False, 'start': '0500', 'end': '1500', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]",['delivery']
3,3AUUTqy0XDWwLH48x6ntDw,mcdonalds-chicago-188,McDonald's,https://s3-media3.fl.yelpcdn.com/bphoto/bRqBMhvbEXvW8m4k6UOcaA/o.jpg,True,False,https://www.yelp.com/biz/mcdonalds-chicago-188?adjust_creative=VcO4N1M3Lh4PCYii-WJ2BA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=VcO4N1M3Lh4PCYii-WJ2BA,+17739958586,(773) 995-8586,13,"[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]",1.5,"{'address1': '600 E 115th St', 'address2': '', 'address3': '', 'city': 'Chicago', 'zip_code': '60628', 'country': 'US', 'state': 'IL', 'display_address': ['600 E 115th St', 'Chicago, IL 60628'], 'cross_streets': 'Lowe Ave & Wallace St'}","{'latitude': 41.6856867627975, 'longitude': -87.607668042183}","['https://s3-media3.fl.yelpcdn.com/bphoto/bRqBMhvbEXvW8m4k6UOcaA/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/7VLW87XbHAN76IFDoyvF9Q/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/ebUYUxkiacYZwpGw2EOfQw/o.jpg']",$,"[{'open': [{'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 0}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 1}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 2}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 3}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 4}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 5}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",['delivery']
